listing_id,year_month,avg_adjusted_price,avg_base_price,occupancy_rate,available_days
7101,2025-10,59.22,46.0,1.0,0
7101,2025-11,48.07,46.0,0.13,26
7101,2025-12,47.78,46.0,0.52,15
7101,2026-01,40.99,46.0,0.13,27
7101,2026-02,40.77,46.0,0.43,16
7101,2026-03,40.61,46.0,0.1,28
7101,2026-04,47.84,46.0,0.0,30
7101,2026-05,48.23,46.0,0.1,28
7101,2026-06,47.84,46.0,0.0,30
7101,2026-07,48.0,46.0,0.26,23
7101,2026-08,60.0,46.0,1.0,0
7101,2026-09,59.8,46.0,1.0,0
7101,2026-10,60.15,46.0,1.0,0
23395,2025-10,61.8,48.0,0.2,4
23395,2025-11,50.16,48.0,0.0,30
23395,2025-12,49.86,48.0,0.0,31
23395,2026-01,42.77,48.0,0.0,31
23395,2026-02,42.55,48.0,0.0,28
23395,2026-03,42.38,48.0,0.0,31
23395,2026-04,49.92,48.0,0.2,24
23395,2026-05,50.32,48.0,1.0,0
23395,2026-06,49.92,48.0,1.0,0
23395,2026-07,50.09,48.0,1.0,0
23395,2026-08,62.61,48.0,1.0,0
23395,2026-09,62.4,48.0,1.0,0
23395,2026-10,62.77,48.0,1.0,0
68229,2025-10,46.35,36.0,0.2,4
68229,2025-11,37.62,36.0,0.0,30
68229,2025-12,37.39,36.0,0.0,31
68229,2026-01,32.08,36.0,0.23,24
68229,2026-02,31.91,36.0,1.0,0
68229,2026-03,31.78,36.0,1.0,0
68229,2026-04,37.44,36.0,1.0,0
68229,2026-05,37.74,36.0,1.0,0
68229,2026-06,37.44,36.0,1.0,0
68229,2026-07,37.57,36.0,1.0,0
68229,2026-08,46.96,36.0,1.0,0
68229,2026-09,46.8,36.0,1.0,0
68229,2026-10,47.08,36.0,1.0,0
105960,2025-10,41.2,32.0,0.2,4
105960,2025-11,33.44,32.0,0.0,30
105960,2025-12,33.24,32.0,0.0,31
105960,2026-01,28.52,32.0,0.0,31
105960,2026-02,28.37,32.0,0.0,28
